, Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec 
1996,,,,,,,,,,,47.9,58.8
1997,75.7,62.5,61.5,50.7,46,64.1,81.5,82.8,72.1,72.4,68.8,89.3
1998,75.3,73.5,67.8,44.3,34.7,59.4,86.2,85.6,76,71.4,62.5,75.3
1999,80.5,69.2,44,22,31.1,41,50.9,40.9,61.7,52.3,41.9,67.3
2000,76.9,74.3,55.3,32,61,50.8,63.4,67.8,67,54.7,56.7,57.3
2001,76.6,51.4,39.2,42.8,40,59.6,69.6,63.2,51.1,50.9,46.3,62.2
2002,66.3,54.1,42.5,27,33.2,49.8,44.9,71.9,70.2,54.9,52.9,59.8
2003,83.1,68.7,49.4,27.9,24.9,46,76.7,78.7,75,49.9,49.8,76
2004,82.4,64.2,42.4,32.9,36.3,51,52.4,74.5,56.8,63.4,60.7,66
2005,65.3,60,51.4,23.7,25.6,39,72.8,59.1,70.3,55.4,50.1,60
2006,56.5,52.5,49.5,27.4,41.4,48.1,69.8,65.6,65.3,56.3,62.5,63.8
2007,62.8,68.4,54.2,31,38.4,52.3,67.5,70.3,67.2,49.6,66.5,58.7
2008,61.4,58.4,46.2,33.2,44.7,67.1,73.4,74.8,69.2,61,63.2,67.2
2009,68.3,57.7,45.6,26.4,36.9,34.7,61.2,68,69.6,52.1,60.9,66.7
2010,79,64.7,49.6,23.6,28.9,36.4,70.5,78.8,79.1,63.1,70.8,71.5
2011,67.9,67.8,54.3,37.2,37.4,55.9,70.4,75.3,71,59.1,66.9,69.2
2012,70.9,49.2,45.8,39.9,24.3,28.4,63.5,77.9,68.9,57.4,65.4,64.9
2013,73,71.9,57.4,34.6,28.9,58.8,74.9,76.8,64.6,70.3,66.2,79.1
2014,84.6,73.3,62.3,40.7,41.7,42.7,62.8,61.4,63.4,59.1,55.3,69.9
2015,78.2,64.4,68,51.6,33.3,49.3,69.4,70.7,53.9,59.3,66.8,71.6
2016,77.9,62.4,55,29.2,39,51.8,75.4,73,61,56.2,54.1,68.8
2017,77.2,64.4,48,30.4,,,,,,,,
Avg. (21yrs), 73.3 , 63.5 , 51.9 , 33.7 , 36.4 , 49.3 , 67.9 , 70.9 , 66.7 , 58.4 , 58.9 , 67.8 
