, Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec 
1996,,,,,,,,,,,19.5,13.8
1997,12.9,15.9,21.3,26.3,29.8,31.7,31.2,29.6,29.7,24,20,12.9
1998,13.2,16.5,19.6,29.2,34.3,32.9,30.2,29.5,29.5,25.1,20,14.1
1999,12.2,16.5,22.5,31.1,34.6,34.3,32,32.9,30.8,27.6,22.6,15.1
2000,13.8,15,25.5,35,26,32.3,30.3,31.7,30.2,28.2,22.1,16.1
2001,12.6,18.3,23.5,29.9,33,31,31,31.1,31.2,27.7,21.5,15.8
2002,14.1,17.4,24.5,32,35.4,34.2,35.4,30.7,28.4,27.2,21.3,16.8
2003,11.7,17.8,23.5,31.7,34.8,35.6,30.3,30,28.9,26.4,20.4,15.1
2004,13.1,18.4,26.6,31.8,34.3,32.4,32.7,29.5,29.7,24.2,19.5,15.4
2005,13.4,16.8,23.6,28.6,32.3,34,30.2,31.4,28.8,25.1,19.5,13.2
2006,14,21,22.5,29.5,33.1,32,31,30.6,29.2,26.1,20.2,15.5
2007,13.4,17.6,21.7,30.5,31.9,33,31.1,30.6,29.2,24.4,19.4,14.5
2008,13,15.6,25.1,28.6,30.2,30.3,30.7,29.6,28.5,26.4,19.6,16.2
2009,14.7,18.3,23.4,29.6,32.4,34.6,32,30.9,28.9,25.1,19.3,15
2010,12.9,18.1,25.9,32.7,34.5,34.4,31.1,29.6,27.7,26.1,20.4,14
2011,12.3,17,22.7,27.9,33.1,32.2,30.6,29.9,29.1,25.6,20.8,14.5
2012,12.8,16.2,22.5,28.2,33.4,36.1,31.9,29.3,29.2,24.6,18.8,15
2013,12.1,16.9,22.8,28.9,33.8,32.5,30.7,29.5,29.8,26.1,18.8,15.2
2014,13.4,15.7,21.6,28.1,31.4,34.8,32,31.4,29.8,26.5,20.1,14.8
2015,12.7,18.8,21.5,28,33.4,32.8,30.4,30.3,30.7,26.9,20.8,15
2016,15.1,19,25.7,32.5,34.7,34.9,30.9,31.1,31.5,29,23,17.7
2017,15.7,18.3,23.8,30.8,,,,,,,,
Avg. (21yrs), 13.3 , 17.4 , 23.3 , 30.0 , 32.8 , 33.3 , 31.3 , 30.5 , 29.5 , 26.1 , 20.4 , 15.0 
